Predicted Queries,Actual Queries
"SELECT sri.sem, AVG(CAST(sri.cst)) AS avg_cst FROM students_result_info sri GROUP BY sri.sem",SELECT AVG(cet_score) FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sai.Department = 'ELEC';
SELECT COUNT(*) FROM students_result_info WHERE sri.result = 'female' GROUP BY sri.sem,SELECT COUNT(*) FROM student_admss_info WHERE gender = 'Female' AND Department = 'CMPN';
SELECT MAX(diploma) FROM students_prev_edu spe JOIN student_admss_info sa ON spe.pid = sa.pid WHERE sa.Department = 'Mechanic' AND sa.diploma = 'Yes' AND sa.diploma = 'Yes' AND sa.diploma = 'Yes';,SELECT MAX(diploma) FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sai.Department = 'MECH';
SELECT COUNT(*) FROM students_hobby_info WHERE hobby_singing = '1' GROUP BY 'MECH' AND 'COUNT' FROM students_hobby_info,SELECT COUNT(*) FROM students_hobby_info shi JOIN student_admss_info sai ON shi.pid = sai.pid WHERE sai.Department = 'MECH' AND shi.Hobby = 'Singing';
"SELECT sri.sem, AVG(CAST(sri.cst)) AS avg_cst FROM students_result_info sri GROUP BY sri.sem",SELECT MIN(cet_score) FROM students_result_info sri JOIN students_placement sp ON sri.pid = sp.pid WHERE YEAR(sp.month_year) = YEAR(CURRENT_DATE) - 1 AND sp.Placed = 'Yes';
SELECT sai.diploma FROM students_prev_edu spe JOIN student_admss_info sai ON spe.pid = sai.pid WHERE sai.diploma IS NOT NULL,SELECT COUNT(*) FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sai.gender = 'Male' AND sri.diploma > 90;
"SELECT sai.department, AVG(spe.pl) FROM students_placement sp JOIN student_admss_info sai ON spe.pid = sai.pid GROUP BY sai.department",SELECT AVG(Package) FROM students_placement sp JOIN student_admss_info sai ON sp.pid = sai.pid WHERE sai.Department = 'ELEC';
SELECT COUNT(*) FROM students_placement sp JOIN student_admss_info sa ON sp.pid = sa.pid WHERE sa.pid = '2020' AND sa.pid WHERE sa.pid = '2020' AND sa.pid = '2020';,SELECT COUNT(*) FROM students_placement sp WHERE YEAR(sp.month_year) = 2020 AND Placed = 'Yes';
"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",SELECT AVG(gpa) FROM students_result_info sri JOIN students_placement sp ON sri.pid = sp.pid JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sai.Department = 'CMPN' AND sp.Placed = 'No';
SELECT COUNT(*) FROM students_result_info WHERE sri.result = '1' GROUP BY sri.sem,SELECT COUNT(*) FROM students_hobby_info shi JOIN student_admss_info sai ON shi.pid = sai.pid WHERE sai.Department = 'ELEC' AND shi.Hobby = 'Sports' AND shi.Hobby_level = 'National';
"SELECT sri.sem, AVG(CAST(sri.gender)) AS avg_gender FROM students_result_info sri GROUP BY sri.sem",SELECT MAX(HSC_percentage) FROM students_result_info sri JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sai.gender = 'Female';
SELECT COUNT(*) FROM students_result_info WHERE sri.result = 'male';,SELECT COUNT(*) FROM student_admss_info WHERE gender = 'Male' AND acadyear = '2019-2020';
SELECT COUNT(*) FROM students_hobby_info WHERE sp.HOBby = '1' GROUP BY sp.,SELECT COUNT(*) FROM students_hobby_info shi JOIN student_admss_info sai ON shi.pid = sai.pid WHERE sai.Department = 'CMPN' AND shi.Hobby = 'Reading';
"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_result_info sri GROUP BY sri.sem",SELECT AVG(gpa) FROM students_result_info sri JOIN students_placement sp ON sri.pid = sp.pid JOIN student_admss_info sai ON sri.pid = sai.pid WHERE sai.Department = 'ELEC' AND YEAR(sp.month_year) = 2021 AND sp.Placed = 'Yes';
SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'CMPN';,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'CMPN';
