"pid,ECategory,Hobby,Hobby_level"
"197882,sports,karate ,national"
"197883,sports,football,school"
"197884,hobbies,reading books,school"
"197885,cultural,mono-act play,school"
"197886,hobbies,""reading, singing"",school"
"197887,sports,""reading, singing"",national"
"197888,games,""reading, singing"",national"
"197889,cultural,""reading, singing"",national"
"197890,hobbies,""reading, singing"",national"
"197891,others,s,national"
"197892,games,""table tennis,p.s"",school"
"197893,sports,""shot-put,discuss-throw and javelin throw"",state"
"197894,games,""volleyball,throw-ball"",district"
"197895,sports,cricket,district"
"197896,games,kho  kho,school"
"197897,sports,marathon,national"
"197898,games,cricket,district"
"197899,hobbies,""swimming, cycling, running, fishing,etc."",state"
"197900,sports,tennis,state"
"197901,games,football,school"
"197902,cultural,drama,school"
"197903,hobbies,piano (grade 8),national"
"197904,cultural,""drama,speech"",district"
"197905,hobbies,drawing,school"
"197906,sports,""cricket,volleyball,football"",school"
"197907,hobbies,""cricket,swimming"",school"
"197908,sports,kho-kho,state"
"197909,games,chess,school"
"197910,hobbies,singing,state"
"197911,hobbies,""music,reading books, movies"",school"
"197912,sports,cricket,school"
"197913,hobbies,""music,gaming,reading"",school"
"197914,sports,running,school"
"197915,games,kho kho,school"
"197916,cultural,dance,school"
"197917,hobbies,""reading , listening romantic songs"",school"
"197918,others,painting craft works,school"
"197919,sports,throw ball championship,school"
"197920,cultural,writing,school"
"197921,hobbies,writing,school"
"197922,others,publised my poem in school magazine,school"
"197923,cultural,drama ,school"
"197924,sports,volleyball and cricket,school"
"197925,hobbies,dancing and singing,school"
"197926,others,like to read book and passionatea about computer program and electronic devices,school"
"197927,sports,no,school"
"197928,games,badminton,school"
"197929,cultural,no,school"
"197930,hobbies,card making;drawing,school"
"197931,others,no,school"
"197932,sports,running race,school"
"197933,games,quiz,school"
"197934,cultural,dancing,school"
"197935,hobbies,""drawing,programming,reading,dancing"",school"
"197936,sports,cricket,school"
"197937,games,chess ,school"
"197938,cultural,traditional  day,school"
"197939,cultural,""dance, singing and drama"",school"
"197940,sports,cricket,school"
"197941,hobbies,maramari,national"
"197942,sports, winner in intra college competition in volley ball,school"
"197943,games, ,school"
"197944,hobbies,""gardening, competitive coding "",school"
"197945,others,""trophy for mathematics,gold medal in nstse"",national"
"197946,cultural,music,state"
"197947,sports,hockey,school"
"197948,games,table tennis,school"
"197949,cultural,scouting,state"
"197950,hobbies,reading,school"
"197951,others,elocution,school"
"197952,sports,football,school"
"197953,cultural,lazim,school"
"197954,others,scout and guides,school"
"197955,sports,swimming,school"
"197956,games,karate and badminton,school"
"197957,cultural,scout and guide commander,district"
"197958,hobbies,""coin collection,cosmology and mythology"",school"
"197959,sports,""table tennis, 2nd place"",school"
"197960,sports,basketball,school"
"197961,cultural,singing,school"
"197962,games,football ,district"
"197963,hobbies,e-sports,school"
"197964,sports,no,school"
"197965,games,no,school"
"197966,cultural,no,school"
"197967,hobbies,reading ,school"
"197968,sports,badminton ,school"
"197969,cultural,passes elementary grade exam,state"
"197970,hobbies,handwriting stylist,school"
"197971,sports,football match - 2nd prize,school"
"197972,cultural,rangoli competition - 2nd prizerangat rang pot painting - 1st prize,school"
"197973,hobbies,elementary drawing grade exam - a gradeintermediate drawing grade exam - a grade,state"
"197974,others,received higher secondary school scholarship,district"
"197975,others,received higher secondary school scholarship,district"
"197976,others,received higher secondary school scholarship,district"
"197977,sports,no,school"
"197978,games,no,school"
"197979,hobbies,drawing,school"
"197980,others,received higher secondary school scholarship,district"
"197981,sports,""football, volleyball"",school"
"197982,cultural,""keen participation """"brahmostav"""" - college fest "",school"
"197983,hobbies,""pets (fish keeping), "",school"
"197984,others,3 prize  in project ,school"
"197985,games,maharashtra softball chamionship,state"
"197986,hobbies,chess,school"
"197987,cultural,singing,school"
"197988,cultural,singing,school"
"197989,sports,""football,volleyball"",school"
"197990,cultural,keen participant in bharamotsav at -tvm colege,school"
"197991,hobbies,pet (fish keeping),school"
"197992,sports,football,school"
"197993,hobbies,badminton ,school"
"197994,hobbies,""mountaineering course from atal bihari bajpeyi institute, himachal pradesh"",national"
"197995,others,certified by bhonsala military school,state"
"197996,games,throw ball,school"
"197997,cultural,""dance, elocution, drama "",school"
"197998,hobbies,""collecting currency of different countries, dance"",national"
"197999,sports,karate,school"
"198000,cultural,all india dance and drama competition,national"
"198001,cultural,dance competition,school"
"198002,cultural,dance ,school"
"198003,others,received higher secondary school scholarship,district"
"198004,hobbies,""dancing ,travelling"",school"
"198005,cultural,""first in school cultural fest for singing and dancing 2016-17, 2nd inter school salad making competition"",school"
"198006,hobbies,""reading, singing, cooking, research"",school"
"198007,others,3rd prize in math quiz,school"
"198008,sports,chess,school"
"198009,hobbies,elocution,school"
"198010,sports,1)awarded 2nd place in kho-kho inter house competition2)awarded second prize in football in interhouse competition,school"
"198011,cultural,won certificate of excellence with  first place for elocution in hindi ,school"
"198012,hobbies,""playing badminton and cricket, reading sports"",school"
"198013,sports,throwball,district"
"198014,sports,table tennis,school"
"198015,hobbies,programming,school"
"198016,sports,wushu kickboxing,state"
"198017,hobbies,martial arts ,state"
"198018,hobbies,elementary and intermediate,school"
"198019,sports,hockey,school"
"198020,cultural,singing,state"
"198021,sports,judo,state"
"198022,games,volleyball,district"
"198023,cultural,kathak,district"
"198024,hobbies,""keyboard, london trinity"",national"
"198025,sports,karate,state"
"198026,games,""racing,"",school"
"198027,hobbies,""cricket,"",school"
"198028,cultural,""drawing, elocution competition, quiz contest, essay writing competition"",school"
"198029,others,""fancy dress competition, "",district"
"198030,cultural,singing,school"
"198031,others,gk olympiad ,state"
"198032,sports,nil,school"
"198033,games,nil,school"
"198034,cultural,nil,school"
"198035,hobbies,nil,school"
"198036,others,nil,school"
"198037,sports,shot put,school"
"198038,sports,shot put,school"
"198039,hobbies,""reading, badminton, lawn tennis"",school"
"198040,hobbies,""reading, badminton, lawn tennis"",school"
"198041,sports,basketball,state"
"198042,sports,basketball,district"
"198043,sports,throw ball,school"
"198044,hobbies,dancing,school"
"198045,sports,footbal,school"
"198046,sports,track events,school"
"198047,games,cricket,district"
"198048,sports,no,school"
"198049,games,no,school"
"198050,cultural,no,school"
"198051,hobbies,dreawing dancing singing,school"
"198052,others,no,school"
"198053,sports,football,school"
"198054,sports,selected for badminton at inter college level ,school"
"198055,games,was a part of throw ball team at school level,school"
"198056,cultural,""music- got selected in singing competition and won the 1st prize at the district ,state level. went to haridwar for the national level representing and maharashtra state.reached 5th level in hindustani classical music from akhil bharatiya gandharva vidhyalaya, mumbaibharata natyam - reached 5th level from akhil bharatiya gandharva vidhyalaya, mumbai"",national"
"198057,hobbies,playing badminton,school"
"198058,hobbies,dance  drawing,school"
"198059,sports,cricket,district"
"198060,games,cricket,district"
"198061,hobbies,reading,school"
"198062,cultural,""dance, boogie woogie 2000 winner ( sony tv) mini superstar winner (dd metro)"",school"
"198063,sports,throw ball,district"
"198064,games,foot ball,district"
"198065,cultural,scout and guide,district"
"198066,hobbies,""music, dancing"",school"
"198067,sports,karate - black belt 1 strip,school"
"198068,cultural,elementary intermediate,school"
"198069,cultural,elementary drawing examination,state"
"198070,sports,throw ball,school"
"198071,games,100 meter running,school"
"198072,others,head girl,school"
"198073,sports,-,school"
"198074,games,-,school"
"198075,cultural,-,school"
"198076,hobbies,art and craft,school"
"198077,others,-,school"
"198078,cultural,""carol singing, dancing"",school"
"198079,hobbies,drawing,school"
"198080,others,tree plantation,school"
"198081,sports,karate,school"
"198082,games,karate,school"
"198083,cultural,""instrumental competition, patriotic singing competition, carol singing competition"",school"
"198084,hobbies,""playing the guitar, group singing,"",school"
"198085,others,""playing the guitar, group singing,"",school"
"198086,cultural,""carol singing, dancing, "",school"
"198087,hobbies,drawing,school"
"198088,others,""tree plantation, swachh bharat abhiyan"",school"
"198089,sports,throwball,school"
"198090,sports,football,district"
"198091,hobbies,""sports, music, drawing and arts"",school"
"198092,sports,football,school"
"198093,cultural,drama,school"
"198094,hobbies,music,school"
"198095,sports,football,district"
"198096,hobbies,drawing,school"
"198097,hobbies,reading,school"
"198098,others,i have 2 years of exp zerebral it solution pvt ltd,national"
"198099,hobbies,singing,school"
"198100,others,keyboard,school"
"198101,sports,relay,school"
"198102,games,relay,school"
"198103,cultural,dance,school"
"198104,hobbies,dance,school"
"198105,others,""homi bhabha, c.v. raman"",district"
"198106,sports,wushu,state"
"198107,games,kungfu,state"
"198108,hobbies,kungfu,state"
"198109,sports,hockey,school"
"198110,cultural,bharathnatyam,district"
"198111,hobbies,""dancing,acting,cooking"",school"
"198112,sports,hockey,school"
"198113,cultural,bharathnatyam,district"
"198114,hobbies,""dancing,acting,cooking"",school"
