"pid,ssc,hsc,cet,diploma"
"197882,73,59,51,73"
"197883,73,59,51,73"
"197884,73,59,51,73"
"197885,73,59,51,73"
"197886,73,59,51,73"
"197887,73,59,51,73"
"197888,73,59,51,73"
"197889,73,59,51,73"
"197890,73,59,51,73"
"197891,71,0,51,73"
"197892,95,67,51,73"
"197893,63.4,59.38,67,73"
"197894,81.6,85.6,0,73"
"197895,85.2,74.2,0,73"
"197896,85.2,74.2,0,73"
"197897,85.2,74.2,0,73"
"197898,85.2,74.2,0,73"
"197899,85.2,74.2,0,73"
"197900,85.2,74.2,0,73"
"197901,85.2,74.2,0,73"
"197902,85.2,74.2,0,73"
"197903,85.2,74.2,0,73"
"197904,85.2,74.2,0,73"
"197905,85.2,74.2,0,73"
"197906,85.2,74.2,0,73"
"197907,85.2,74.2,0,73"
"197908,85.2,74.2,0,73"
"197909,85.2,74.2,0,73"
"197910,85.2,74.2,0,73"
"197911,85.2,74.2,0,73"
"197912,85.2,74.2,0,73"
"197913,85.2,74.2,0,73"
"197914,85.2,74.2,0,73"
"197915,85.2,74.2,0,73"
"197916,85.2,74.2,0,73"
"197917,85.2,74.2,0,73"
"197918,85.2,74.2,0,73"
"197919,85.2,74.2,0,73"
"197920,85.2,74.2,0,73"
"197921,73.8,52.4,26,73"
"197922,88.8,78.6,74.4,73"
"197923,89.4,93.3,88,73"
"197924,85.6,93,69.7,73"
"197925,87,95.2,77.6,73"
"197926,84.2,94.2,97.2,73"
"197927,84.8,92.7,88.5,73"
"197928,74,90.7,79.6,73"
"197929,92.6,94.3,92.9,73"
"197930,91.2,94.2,96,73"
"197931,80.8,90.3,83.3,73"
"197932,73.2,93.6,76.6,73"
"197933,86.4,92.6,35.4,73"
"197934,76.4,81.1,66.2,73"
"197935,96.2,89.2,69.3,73"
"197936,75.4,88.2,77.2,73"
"197937,89.6,95.8,84.4,73"
"197938,69,77.8,63.7,73"
"197939,88.2,87.8,79.3,73"
"197940,78.4,0,0,73"
"197941,95.4,93.7,93.2,73"
"197942,86,82.8,95.7,73"
"197943,90.4,91.1,96.7,73"
"197944,88,84,83,73"
"197945,96,91.7,85.8,73"
"197946,89.2,92.5,96,73"
"197947,87.2,94.1,85.7,73"
"197948,86.8,94.2,78.2,73"
"197949,91.8,89,72.5,73"
"197950,84.6,94.6,75.9,73"
"197951,79.6,90,69.7,73"
"197952,79,92.3,85.7,73"
"197953,80,86.5,69.7,73"
"197954,82,87.8,82.7,73"
"197955,84.8,94.8,80.8,73"
"197956,85.2,91,75.9,73"
"197957,78,87,64,73"
"197958,96.3,95.8,95.8,73"
"197959,81.6,84.4,96.2,73"
"197960,95.8,91.2,88.6,73"
"197961,83.2,89.1,88.7,73"
"197962,88.8,89.2,75.9,73"
"197963,83,93,36,73"
"197964,96.1,94.6,97.8,73"
"197965,95,94.8,97.1,73"
"197966,79.4,82,41.6,73"
"197967,86.2,88.5,46.1,73"
"197968,92.5,62.4,73.9,73"
"197969,92,94.7,94.3,73"
"197970,79.8,89.5,72.6,73"
"197971,94.2,90.7,95.8,73"
"197972,81,91,20,73"
"197973,88.8,94.5,82.5,73"
"197974,91.4,95.8,74.5,73"
"197975,87.4,87.5,76.1,73"
"197976,81.6,91.2,93,73"
"197977,82.2,83.2,93.6,73"
"197978,86.2,94.5,92.8,73"
"197979,71.6,53.2,77.5,73"
"197980,86.8,75.5,89.2,73"
"197981,68.4,86.3,88,73"
"197982,88.8,89.3,89.3,73"
"197983,87.2,94.8,97.5,73"
"197984,81.2,92.9,89.9,73"
"197985,74.6,78.1,76.4,73"
"197986,92.8,93.3,85.1,73"
"197987,83,89,84,73"
"197988,92.4,97,93.7,73"
"197989,84.4,87.3,58.6,73"
"197990,73.8,82.6,77.6,73"
"197991,84,87.5,94.7,73"
"197992,83.2,92,86.7,73"
"197993,88.6,89.5,74.2,73"
"197994,87,85,89,73"
"197995,93.4,95.7,97.9,73"
"197996,43.5,72,78.1,73"
"197997,74.4,89,93.2,73"
"197998,82.6,89,71.2,73"
"197999,84.6,80.5,94,73"
"198000,93.2,82.4,80.8,73"
"198001,91,91.3,90.3,73"
"198002,92.4,85.3,89.4,73"
"198003,85.8,89.3,69.3,73"
"198004,84.4,83.8,84,73"
"198005,80.4,93,80.7,73"
"198006,84,87.9,73.3,73"
"198007,98.2,87.2,75,73"
"198008,71.2,79.8,93.7,73"
"198009,82.2,94.8,67.2,73"
"198010,82,76.2,96.6,73"
"198011,86,94,92.2,73"
"198012,88.6,92.3,89.4,73"
"198013,83,82.5,84.4,73"
"198014,86.8,90.6,83.9,73"
"198015,93,81,58.6,73"
"198016,88,91.6,84.7,73"
"198017,78,87.5,75.1,73"
"198018,84.4,92.8,89.6,73"
"198019,73.8,88.2,85.7,73"
"198020,85.4,77.7,91.9,73"
"198021,91.6,92.5,93.4,73"
"198022,82.6,90.5,66,73"
"198023,79.6,89.8,17.6,73"
"198024,89.2,96.8,98,73"
"198025,69.4,83,79.7,73"
"198026,90,81.4,43.1,73"
"198027,94.2,93,90,73"
"198028,79.8,85,54,73"
"198029,85.1,93.2,69.7,73"
"198030,95.4,93,94.4,73"
"198031,88.8,93.1,79.9,73"
"198032,85.2,93.7,90.8,73"
"198033,81.8,81.1,48.4,73"
"198034,95.8,94.8,95.1,73"
"198035,88.4,95,89,73"
"198036,76.4,83.8,66.1,73"
"198037,89.8,93.6,98.1,73"
"198038,81,91.3,56.6,73"
"198039,84.2,84.3,72.6,73"
"198040,63.6,67.8,76.4,73"
"198041,89,92.6,82.2,73"
"198042,77.6,88.5,64.1,73"
"198043,89.9,85.1,78.8,73"
"198044,91.2,92.7,94.5,73"
"198045,85.2,88.8,95.1,73"
"198046,85.6,88,70,73"
"198047,76,91.5,61.7,73"
"198048,93.4,80.5,90,73"
"198049,78.6,56,80.3,73"
"198050,82,59,78,73"
"198051,93.2,67.7,72,73"
"198052,91,72.7,84.9,73"
"198053,96.2,89.8,94.4,73"
"198054,93.2,79.1,95.4,73"
"198055,82,46,87.4,73"
"198056,82.2,69,15,73"
"198057,94,91.7,93.7,73"
"198058,93.8,70.7,92,73"
"198059,94.2,75.5,86.5,73"
"198060,65.6,58.5,64,73"
"198061,68.8,60.8,74.7,73"
"198062,86,67,66,73"
"198063,82.6,63.8,78.3,73"
"198064,88.4,82.8,85,73"
"198065,94.2,81.3,80.3,73"
"198066,79,52,89,73"
"198067,85.2,86,89.4,73"
"198068,90.6,66.6,78.4,73"
"198069,76.4,67.1,88.6,73"
"198070,69.4,50.5,68.2,73"
"198071,91.6,74.1,66.4,73"
"198072,94.6,72.7,81.8,73"
"198073,89,67.3,62,73"
"198074,87.8,62.5,79.2,73"
"198075,93.6,60,79.9,73"
"198076,89.4,79.1,80.9,73"
"198077,80,72.5,89.7,73"
"198078,87.2,62.6,87.2,73"
"198079,77,51.6,83.4,73"
"198080,86.2,66,81.4,73"
"198081,85.2,66.3,79.5,73"
"198082,84.2,60.5,79.8,73"
