NLP Query,SQL Query,chart type
What is the average CET score for students in the Electronics department?,"SELECT sri.sem, AVG(CAST(sri.ET)) AS avg_ET FROM students_result_info sri GROUP BY sri.sem  ",bar chart
Show the total number of female students in the Computer Science department.,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Female = 'Female' AND cs.branch = 'Female';  ,bar chart
What is the maximum diploma score of students in the Mechanical department?,SELECT COUNT(*) FROM students_result_info WHERE sri.diploma IS NOT NULL  ,scatter plot
How many students from the Mechanical department participated in hobbies like singing?,SELECT COUNT(*) FROM students_hobby_info WHERE Hobby_singing = 'Yes' AND 'Sing';  ,bar chart
What is the minimum CET score of students who were placed last year?,"SELECT sai.acadyear, AVG(spe.CET) AS avg_CET FROM students_placement sai ON spe.pid = sai.pid GROUP BY sai.acadyear  ",bar chart
How many male students scored above 90% in their diploma?,SELECT COUNT(*) FROM students_prev_edu WHERE sri.diploma = 'Yes' AND sri.diploma = 'Male';  ,bar chart
What is the average placement package for students from the Electronics department?,"SELECT sai.department, AVG(spe.placement) AS avg_package FROM students_placement sai ON spe.pid = sai.pid GROUP BY sai.department  ",bar chart
Show the total number of students who are placed in 2020.,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = '2020';  ,bar chart
What is the average GPA of students in the Computer Science department who were not placed?,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_placement sri GROUP BY sri.sem  ",bar chart
How many students from the Electrical department participated in national-level sports?,SELECT COUNT(*) FROM students_result_info WHERE sri.result = 'National' AND sri.sport = 'National';  ,bar chart
Show the maximum score in HSC among the female students.,SELECT COUNT(*) FROM students_result_info WHERE HSC IS NOT NULL  ,scatter plot
What is the total count of male students in the 2019 academic year?,SELECT COUNT(*) FROM college_students cs JOIN students_admss_info sai ON cs.pid = sai.pid WHERE sai.acadyear = 2019;  ,bar chart
How many students from the Computer Science department have a hobby of reading books?,SELECT COUNT(*) FROM students_hobby_info WHERE a hobby is to read books  ,bar chart
What is the average GPA of students in the Electronics department who were placed in 2021?,"SELECT sri.sem, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_placement sri GROUP BY sri.sem  ",bar chart
I want the number of placed CMPN students,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'CMPN';  ,bar chart
Provide the total of placed CMPN students,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'CMPN';  ,bar chart
Display total placed students in MECH,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'MECH';  ,bar chart
Show the placement count for MECH branch,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'MECH';  ,bar chart
Give the total of ELEC students who got placed,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'ELEC';  ,bar chart
Retrieve how many ELEC students are placed,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'ELEC';  ,bar chart
Display total placed students in INFT,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'INFT';  ,bar chart
Show me the number of placed INFT students,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'INFT';  ,bar chart
Display total placed students in EXTC,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'EXTC';  ,bar chart
Show total placed students from EXTC,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'EXTC';  ,bar chart
How many EXTC students got placed?,SELECT COUNT(*) FROM college_students cs JOIN students_placement sp ON cs.pid = sp.pid WHERE sp.Placed = 'Yes' AND cs.branch = 'EXTC';  ,bar chart
Retrieve hobby count and gpa comparison if available.,"SELECT COUNT(shi.Hobby) AS hobby_count, AVG(CAST(sri.gpa AS FLOAT)) AS avg_gpa FROM students_hobby_info shi JOIN students_result_info sri ON shi.pid = sri.pid GROUP BY shi.pid  ",scatter plot
Show student count by admission status if available.,"SELECT stat, COUNT(*) AS count FROM student_admss_info GROUP BY stat  ",pie chart
Retrieve hsc and cet scores in summary.,"SELECT hsc, cet FROM students_prev_edu WHERE hsc IS NOT NULL AND cet IS NOT NULL  ",scatter plot
