pid,ECategory,Event,ELevel
326032,sports,karate ,national
304544,sports,football,school
324102,hobbies,reading books,school
324252,cultural,mono-act play,school
324252,hobbies,"reading, singing",school
324542,sports,,national
324542,games,,national
324542,cultural,,national
324542,hobbies,,national
324542,others,s,national
324214,games,"table tennis,p.s",school
326218,sports,"shot-put,discuss-throw and javelin throw",state
326218,games,"volleyball,throw-ball",district
326036,sports,cricket,district
326036,games,kho  kho,school
304514,sports,marathon,national
304514,games,cricket,district
304514,hobbies,"swimming, cycling, running, fishing,etc.",state
324010,sports,tennis,state
324010,games,football,school
324010,cultural,drama,school
324010,hobbies,piano (grade 8),national
322186,cultural,"drama,speech",district
322186,hobbies,drawing,school
324064,sports,"cricket,volleyball,football",school
324064,hobbies,"cricket,swimming",school
322150,sports,kho-kho,state
322150,games,chess,school
322150,hobbies,singing,state
322132,hobbies,"music,reading books, movies",school
322148,sports,cricket,school
322148,hobbies,"music,gaming,reading",school
322136,sports,running,school
322136,games,kho kho,school
322136,cultural,dance,school
322136,hobbies,"reading , listening romantic songs",school
322136,others,painting craft works,school
322228,sports,throw ball championship,school
322228,cultural,writing,school
322228,hobbies,writing,school
322228,others,publised my poem in school magazine,school
306064,cultural,drama ,school
326180,sports,volleyball and cricket,school
326180,hobbies,dancing and singing,school
326180,others,like to read book and passionatea about computer program and electronic devices,school
326216,sports,no,school
326216,games,badminton,school
326216,cultural,no,school
326216,hobbies,card making;drawing,school
326216,others,no,school
324182,sports,running race,school
324182,games,quiz,school
324182,cultural,dancing,school
324182,hobbies,"drawing,programming,reading,dancing",school
322138,sports,cricket,school
322138,games,chess ,school
322138,cultural,traditional  day,school
324116,cultural,"dance, singing and drama",school
241998,sports,cricket,school
241998,hobbies,maramari,national
324018,sports, winner in intra college competition in volley ball,school
324018,games, ,school
324018,hobbies,"gardening, competitive coding ",school
324018,others,"trophy for mathematics,gold medal in nstse",national
241998,cultural,music,state
241998,sports,hockey,school
241998,games,table tennis,school
241998,cultural,scouting,state
241998,hobbies,reading,school
241998,others,elocution,school
241998,sports,football,school
241998,cultural,lazim,school
241998,others,scout and guides,school
342138,sports,swimming,school
342138,games,karate and badminton,school
342138,cultural,scout and guide commander,district
342138,hobbies,"coin collection,cosmology and mythology",school
344238,sports,"table tennis, 2nd place",school
344068,sports,basketball,school
344068,cultural,singing,school
241998,games,football ,district
241998,hobbies,e-sports,school
342044,sports,no,school
342044,games,no,school
342044,cultural,no,school
342044,hobbies,reading ,school
241998,sports,badminton ,school
241998,cultural,passes elementary grade exam,state
241998,hobbies,handwriting stylist,school
241998,sports,football match - 2nd prize,school
241998,cultural,rangoli competition - 2nd prizerangat rang pot painting - 1st prize,school
241998,hobbies,elementary drawing grade exam - a gradeintermediate drawing grade exam - a grade,state
241998,others,received higher secondary school scholarship,district
241998,others,received higher secondary school scholarship,district
241998,others,received higher secondary school scholarship,district
241998,sports,no,school
241998,games,no,school
241998,hobbies,drawing,school
241998,others,received higher secondary school scholarship,district
241998,sports,"football, volleyball",school
241998,cultural,"keen participation ""brahmostav"" - college fest ",school
241998,hobbies,"pets (fish keeping), ",school
241998,others,3 prize  in project ,school
344078,games,maharashtra softball chamionship,state
344078,hobbies,chess,school
241998,cultural,singing,school
241998,cultural,singing,school
241998,sports,"football,volleyball",school
241998,cultural,keen participant in bharamotsav at -tvm colege,school
241998,hobbies,pet (fish keeping),school
241998,sports,football,school
241998,hobbies,badminton ,school
241998,hobbies,"mountaineering course from atal bihari bajpeyi institute, himachal pradesh",national
241998,others,certified by bhonsala military school,state
344246,games,throw ball,school
344246,cultural,"dance, elocution, drama ",school
344246,hobbies,"collecting currency of different countries, dance",national
304116,sports,karate,school
241998,cultural,all india dance and drama competition,national
241998,cultural,dance competition,school
346212,cultural,dance ,school
241998,others,received higher secondary school scholarship,district
241998,hobbies,"dancing ,travelling",school
342112,cultural,"first in school cultural fest for singing and dancing 2016-17, 2nd inter school salad making competition",school
342112,hobbies,"reading, singing, cooking, research",school
342112,others,3rd prize in math quiz,school
241998,sports,chess,school
241998,hobbies,elocution,school
346166,sports,1)awarded 2nd place in kho-kho inter house competition2)awarded second prize in football in interhouse competition,school
346166,cultural,won certificate of excellence with  first place for elocution in hindi ,school
346166,hobbies,"playing badminton and cricket, reading sports",school
241998,sports,throwball,district
344198,sports,table tennis,school
344198,hobbies,programming,school
241998,sports,wushu kickboxing,state
241998,hobbies,martial arts ,state
346008,hobbies,elementary and intermediate,school
241998,sports,hockey,school
241998,cultural,singing,state
241998,sports,judo,state
241998,games,volleyball,district
241998,cultural,kathak,district
241998,hobbies,"keyboard, london trinity",national
241998,sports,karate,state
241998,games,"racing,",school
241998,hobbies,"cricket,",school
241998,cultural,"drawing, elocution competition, quiz contest, essay writing competition",school
241998,others,"fancy dress competition, ",district
241998,cultural,singing,school
241998,others,gk olympiad ,state
241998,sports,nil,school
241998,games,nil,school
241998,cultural,nil,school
241998,hobbies,nil,school
241998,others,nil,school
241998,sports,shot put,school
241998,sports,shot put,school
241998,hobbies,"reading, badminton, lawn tennis",school
241998,hobbies,"reading, badminton, lawn tennis",school
342202,sports,basketball,state
241998,sports,basketball,district
342034,sports,throw ball,school
342034,hobbies,dancing,school
241998,sports,footbal,school
344196,sports,track events,school
344196,games,cricket,district
342150,sports,no,school
342150,games,no,school
342150,cultural,no,school
342150,hobbies,dreawing dancing singing,school
342150,others,no,school
342248,sports,football,school
241998,sports,selected for badminton at inter college level ,school
241998,games,was a part of throw ball team at school level,school
241998,cultural,"music- got selected in singing competition and won the 1st prize at the district ,state level. went to haridwar for the national level representing and maharashtra state.reached 5th level in hindustani classical music from akhil bharatiya gandharva vidhyalaya, mumbaibharata natyam - reached 5th level from akhil bharatiya gandharva vidhyalaya, mumbai",national
241998,hobbies,playing badminton,school
344064,hobbies,dance  drawing,school
346112,sports,cricket,district
346112,games,cricket,district
346112,hobbies,reading,school
241998,cultural,"dance, boogie woogie 2000 winner ( sony tv) mini superstar winner (dd metro)",school
344126,sports,throw ball,district
344126,games,foot ball,district
344126,cultural,scout and guide,district
344126,hobbies,"music, dancing",school
346064,sports,karate - black belt 1 strip,school
346064,cultural,elementary intermediate,school
342078,cultural,elementary drawing examination,state
344128,sports,throw ball,school
344128,games,100 meter running,school
344128,others,head girl,school
322210,sports,-,school
322210,games,-,school
322210,cultural,-,school
322210,hobbies,art and craft,school
322210,others,-,school
344218,cultural,"carol singing, dancing",school
344218,hobbies,drawing,school
344218,others,tree plantation,school
346092,sports,karate,school
346092,games,,school
346092,cultural,"instrumental competition, patriotic singing competition, carol singing competition",school
346092,hobbies,"playing the guitar, group singing,",school
346092,others,,school
241998,cultural,"carol singing, dancing, ",school
241998,hobbies,drawing,school
241998,others,"tree plantation, swachh bharat abhiyan",school
241998,sports,throwball,school
342240,sports,football,district
342240,hobbies,"sports, music, drawing and arts",school
344092,sports,football,school
344092,cultural,drama,school
344092,hobbies,music,school
344014,sports,football,district
344014,hobbies,drawing,school
342122,hobbies,reading,school
241998,others,i have 2 years of exp zerebral it solution pvt ltd,national
342092,hobbies,singing,school
344032,others,keyboard,school
346066,sports,relay,school
346066,games,relay,school
346066,cultural,dance,school
346066,hobbies,dance,school
241998,others,"homi bhabha, c.v. raman",district
241998,sports,wushu,state
241998,games,kungfu,state
241998,hobbies,kungfu,state
344242,sports,hockey,school
344242,cultural,bharathnatyam,district
344242,hobbies,"dancing,acting,cooking",school
344242,sports,hockey,school
344242,cultural,bharathnatyam,district
344242,hobbies,"dancing,acting,cooking",school
344242,sports,hockey,school
344242,cultural,bharathnatyam,district
344242,hobbies,"dancing,acting,cooking",school
344052,cultural,"won elocution competition inter school, head girl of the school ",school
344042,others,"dr. homi bhabha balvaidnyanik competition, sir c.v.raman science talent exam",district
342088,sports,throwball athletics ,district
346036,games,chess,school
346036,hobbies,guitar,school
346036,others,world scholars cup,state
346036,games,chess,school
346036,hobbies,guitar,school
346036,others,world scholars cup,state
241998,games,chess,school
241998,hobbies,pianoforte,school
241998,games,chess,school
241998,hobbies,pianoforte,school
322066,sports,"basketball, athletics  ",school
322066,cultural,"dance (indian and western), music (instrumental-upto grade 3 trinity college exam, singing), drawing (alimentary), speech and drama (trinity college grade exam-grade 5)",school
344042,hobbies,programming,national
344042,hobbies,programming,national
344152,games,chess,school
344152,hobbies,pianoforte,school
344050,hobbies,reading books,school
344050,hobbies,reading books,school
344050,hobbies,reading books,school
344050,hobbies,reading books,school
344050,sports,,school
344050,games,,school
344050,cultural,,school
344050,hobbies,reading books,school
344050,others,,school
344050,sports,,school
344050,games,,school
344050,cultural,,school
344050,hobbies,reading books,school
344050,others,,school
342116,sports,2nd in 4*100 mts relay,school
342116,hobbies,english eassy competition (3rd place),school
344152,cultural,piano,school
342068,others,elocution competiton and other activities in school,school
342068,others,elocution competiton and other activities in school,school
342068,others,elocution competiton and other activities in school,school
342090,sports,player in the winning team in a school level football tournament,school
342090,games,football,school
344154,sports,"basketball,handball, football",school
344154,hobbies,,district
344154,sports,basketballhandball football,district
344154,hobbies,taikwando-yellow belt,district
346220,sports,"relay,drill race,shot put",school
346220,games,kho-kho,school
346220,cultural,"dance,singing",school
346220,hobbies,sketching,school
346220,others,elementary and intermediate ,school
241998,others,"middleschool scholarship , highschool scholarship",state
346050,sports,badminton,district
346050,hobbies,reading books,school
344254,sports,volleyball,school
342162,hobbies,"drawing""a"" grade in intermediate drawing examination",state
342064,sports,football,school
342064,games,chess,school
342064,hobbies,card making,school
342004,games,,school
342004,hobbies,,school
241998,sports,football,district
346024,games,draughts,school
346024,hobbies,currency collection,school
346024,games,draughts,school
346024,hobbies,currency collection,school
346024,games,draughts,school
346024,hobbies,currency collection,school
241998,sports,throwball,district
342214,sports,"basketball, football, cricket",school
342214,games,tug of war,school
342214,cultural,western group dance,school
346224,sports,wushu / kickboxing ,state
346224,games,wushu / kickboxing,state
346224,hobbies,martial arts (kung fu),state
344080,hobbies,"music,playing keyboard instrument,cricket.",school
342132,cultural,mun(mock united nations),school
344094,sports,,district
344094,others,essay writing,school
346012,hobbies,singing ,school
346012,others,science exhibitions,school
342132,cultural,mun(mock united nations),school
344230,sports,silver medal in kabbadi,school
344230,cultural,science exhibition(regional level),school
241998,sports,footbal,district
344258,sports,cricket volleyball,school
344054,cultural,participated in cultural programs in school,school
344054,hobbies,"reading, cycling, playing musical instrument",school
241998,hobbies,drawing(intermrediate),state
342102,sports,football,school
342102,cultural,musician,school
241998,hobbies,drawing(intermrediate),state
342244,sports,badminton,school
342244,cultural,"music, drama, social work for interact club",school
342244,hobbies,"badminton, music, art",school
344096,sports,football,district
344140,sports,running ,school
344140,games,none,school
344140,cultural,none,school
344140,hobbies,none,school
344140,others,none,school
344226,cultural,dance drama ,school
344226,hobbies,reading drawing and art,school
344140,sports,running ,school
344140,games,none,school
344140,cultural,none,school
344140,hobbies,none,school
344140,others,none,school
342084,sports,played inter school cricket match(under 12),school
342084,games,--,school
342084,cultural,--,school
342084,hobbies,--,school
342084,others,--,school
344208,games,2nd rank in techfest organised in college,school
344208,others,came in the merit list of middle school scholarship examination and higher school scholarship examination.,state
241998,sports,none,school
241998,games,none,school
241998,cultural,none,school
241998,hobbies,none,school
241998,others,none,school
