pid,hsc,cet,diploma
197882,59,51,73
197883,59,51,73
197884,59,51,73
197885,59,51,73
197886,59,51,73
197887,59,51,73
197888,59,51,73
197889,59,51,73
197890,59,51,73
197891,0,51,73
197892,67,51,73
197893,59.38,67,73
197894,85.6,0,73
197895,74.2,0,73
197896,74.2,0,73
197897,74.2,0,73
197898,74.2,0,73
197899,74.2,0,73
197900,74.2,0,73
197901,74.2,0,73
197902,74.2,0,73
197903,74.2,0,73
197904,74.2,0,73
197905,74.2,0,73
197906,74.2,0,73
197907,74.2,0,73
197908,74.2,0,73
197909,74.2,0,73
197910,74.2,0,73
197911,74.2,0,73
197912,74.2,0,73
197913,74.2,0,73
197914,74.2,0,73
197915,74.2,0,73
197916,74.2,0,73
197917,74.2,0,73
197918,74.2,0,73
197919,74.2,0,73
197920,74.2,0,73
197921,52.4,26,73
197922,78.6,74.4,73
197923,93.3,88,73
197924,93,69.7,73
197925,95.2,77.6,73
197926,94.2,97.2,73
197927,92.7,88.5,73
197928,90.7,79.6,73
197929,94.3,92.9,73
197930,94.2,96,73
197931,90.3,83.3,73
197932,93.6,76.6,73
197933,92.6,35.4,73
197934,81.1,66.2,73
197935,89.2,69.3,73
197936,88.2,77.2,73
197937,95.8,84.4,73
197938,77.8,63.7,73
197939,87.8,79.3,73
197940,0,0,73
197941,93.7,93.2,73
197942,82.8,95.7,73
197943,91.1,96.7,73
197944,84,83,73
197945,91.7,85.8,73
197946,92.5,96,73
197947,94.1,85.7,73
197948,94.2,78.2,73
197949,89,72.5,73
197950,94.6,75.9,73
197951,90,69.7,73
197952,92.3,85.7,73
197953,86.5,69.7,73
197954,87.8,82.7,73
197955,94.8,80.8,73
197956,91,75.9,73
197957,87,64,73
197958,95.8,95.8,73
197959,84.4,96.2,73
197960,91.2,88.6,73
197961,89.1,88.7,73
197962,89.2,75.9,73
197963,93,36,73
197964,94.6,97.8,73
197965,94.8,97.1,73
197966,82,41.6,73
197967,88.5,46.1,73
197968,62.4,73.9,73
197969,94.7,94.3,73
197970,89.5,72.6,73
197971,90.7,95.8,73
197972,91,20,73
197973,94.5,82.5,73
197974,95.8,74.5,73
197975,87.5,76.1,73
197976,91.2,93,73
197977,83.2,93.6,73
197978,94.5,92.8,73
197979,53.2,77.5,73
197980,75.5,89.2,73
197981,86.3,88,73
197982,89.3,89.3,73
197983,94.8,97.5,73
197984,92.9,89.9,73
197985,78.1,76.4,73
197986,93.3,85.1,73
197987,89,84,73
197988,97,93.7,73
197989,87.3,58.6,73
197990,82.6,77.6,73
197991,87.5,94.7,73
197992,92,86.7,73
197993,89.5,74.2,73
197994,85,89,73
197995,95.7,97.9,73
197996,72,78.1,73
197997,89,93.2,73
197998,89,71.2,73
197999,80.5,94,73
198000,82.4,80.8,73
198001,91.3,90.3,73
198002,85.3,89.4,73
198003,89.3,69.3,73
198004,83.8,84,73
198005,93,80.7,73
198006,87.9,73.3,73
198007,87.2,75,73
198008,79.8,93.7,73
198009,94.8,67.2,73
198010,76.2,96.6,73
198011,94,92.2,73
198012,92.3,89.4,73
198013,82.5,84.4,73
198014,90.6,83.9,73
198015,81,58.6,73
198016,91.6,84.7,73
198017,87.5,75.1,73
198018,92.8,89.6,73
198019,88.2,85.7,73
198020,77.7,91.9,73
198021,92.5,93.4,73
198022,90.5,66,73
198023,89.8,17.6,73
198024,96.8,98,73
198025,83,79.7,73
198026,81.4,43.1,73
198027,93,90,73
198028,85,54,73
198029,93.2,69.7,73
198030,93,94.4,73
198031,93.1,79.9,73
198032,93.7,90.8,73
198033,81.1,48.4,73
198034,94.8,95.1,73
198035,95,89,73
198036,83.8,66.1,73
198037,93.6,98.1,73
198038,91.3,56.6,73
198039,84.3,72.6,73
198040,67.8,76.4,73
198041,92.6,82.2,73
198042,88.5,64.1,73
198043,85.1,78.8,73
198044,92.7,94.5,73
198045,88.8,95.1,73
198046,88,70,73
198047,91.5,61.7,73
198048,80.5,90,73
198049,56,80.3,73
198050,59,78,73
198051,67.7,72,73
198052,72.7,84.9,73
198053,89.8,94.4,73
198054,79.1,95.4,73
198055,46,87.4,73
198056,69,15,73
198057,91.7,93.7,73
198058,70.7,92,73
198059,75.5,86.5,73
198060,58.5,64,73
198061,60.8,74.7,73
198062,67,66,73
198063,63.8,78.3,73
198064,82.8,85,73
198065,81.3,80.3,73
198066,52,89,73
198067,86,89.4,73
198068,66.6,78.4,73
198069,67.1,88.6,73
198070,50.5,68.2,73
198071,74.1,66.4,73
198072,72.7,81.8,73
198073,67.3,62,73
198074,62.5,79.2,73
198075,60,79.9,73
198076,79.1,80.9,73
198077,72.5,89.7,73
198078,62.6,87.2,73
198079,51.6,83.4,73
198080,66,81.4,73
198081,66.3,79.5,73
198082,60.5,79.8,73
198083,54.8,83.4,73
