pid,sem,gpa,result
197882,1,0,0
197883,1,0,0
197884,1,0,0
197885,1,0,0
197886,1,0,0
197887,2,0,0
197888,1,0,1
197889,3,0,0
197890,2,0,0
197891,2,0,0
197892,3,0,0
197893,4,0,0
197894,3,0,0
197895,2,0,0
197896,3,0,0
197897,2,0,0
197898,2,0,0
197899,1,0,0
197900,2,0,0
197901,1,0,0
197902,1,0,0
197903,3,0,0
197904,2,0,0
197905,2,0,0
197906,3,0,0
197907,4,0,0
197908,1,0,0
197909,3,0,0
197910,2,0,0
197911,1,0,0
197912,1,0,0
197913,1,0,0
197914,2,0,0
197915,1,0,0
197916,2,0,0
197917,1,0,0
197918,1,0,0
197919,2,0,0
197920,1,0,0
197921,2,0,0
197922,3,0,0
197923,1,5.09,1
197924,2,0,0
197925,3,0,0
197926,4,0,0
197927,1,0,\n
197928,2,\n,1
197929,1,0,0
197930,2,0,0
197931,1,0,0
197932,2,0,0
197933,1,0,0
197934,1,0,0
197935,2,0,0
197936,1,0,0
197937,2,0,0
197938,3,0,0
197939,1,0,0
197940,2,0,0
197941,3,0,0
197942,4,0,0
197943,2,0,0
197944,3,0,0
197945,4,0,0
197946,1,\n,1
197947,2,5.54,1
197948,3,0,0
197949,4,0,0
197950,1,0,0
197951,2,0,0
197952,1,0,0
197953,2,0,0
197954,1,0,0
197955,1,0,0
197956,2,0,0
197957,1,0,0
197958,2,0,0
197959,3,0,0
197960,1,0,0
197961,2,0,0
197962,3,0,0
197963,4,0,0
197964,2,5.48,1
197965,3,0,0
197966,4,0,0
197967,3,0,0
197968,4,0,0
197969,1,0,0
197970,2,0,0
197971,1,0,0
197972,2,0,0
197973,1,0,0
197974,1,0,0
197975,2,0,0
197976,1,0,0
197977,2,0,0
197978,3,0,0
197979,1,0,0
197980,2,0,0
197981,3,0,0
197982,4,0,0
197983,1,\n,1
197984,1,9.33,1
197985,2,7.96,1
197986,3,0,0
197987,3,0,0
197988,4,5.68,1
197989,3,5.68,1
197990,5,5.42,1
197991,6,6.04,1
197992,7,0,0
197993,1,0,0
197994,1,0,0
197995,2,0,0
197996,3,0,0
197997,3,0,0
197998,4,0,0
197999,3,0,0
198000,4,0,0
198001,3,0,0
198002,4,0,0
198003,3,0,0
198004,4,0,0
198005,3,0,0
198006,4,0,0
198007,3,0,0
198008,4,0,0
198009,5,5.67,"rs3 , 4"
198010,3,0,0
198011,4,0,0
198012,6,0,0
198013,3,0,0
198014,4,0,0
198015,6,0,0
198016,1,8.25,1
198017,1,0,0
198018,1,0,0
198019,2,0,0
198020,1,0,0
198021,2,0,0
198022,3,0,0
198023,2,0,0
198024,1,0,0
198025,2,0,0
198026,1,0,0
198027,2,0,0
198028,3,0,0
198029,1,0,0
198030,2,0,0
198031,3,0,0
198032,4,0,0
198033,2,6.41,1
198034,1,0,0
198035,2,0,0
198036,1,6.11,1
198037,1,9.17,1
198038,1,8.5,1
198039,1,7.33,1
198040,1,0,0
198041,1,7.72,1
198042,1,0,0
198043,1,0,0
198044,2,0,0
198045,1,0,0
198046,1,0,0
198047,1,9.11,1
198048,1,0,0
198049,1,0,0
198050,1,7.72,1
198051,1,7.78,1
198052,1,9.28,1
198053,1,8.61,1
198054,1,7.17,1
198055,1,9.39,1
198056,1,7.83,1
198057,1,0,0
198058,1,0,0
198059,2,9.75,1
198060,1,6.67,1
198061,1,8.83,1
198062,1,8.17,1
198063,2,7.88,1
198064,1,0,0
198065,2,8.8,1
198066,2,7.68,1
198067,1,9.33,1
198068,1,9.89,1
198069,1,9.67,1
198070,1,9.44,1
198071,1,9.17,1
198072,1,8,1
198073,1,9.56,1
198074,1,9.5,1
198075,1,7.72,1
198076,1,6.14,1
198077,1,9.39,1
198078,1,9.61,1
198079,1,9.67,1
198080,1,9.83,1
198081,1,9.56,1
198082,1,9.72,1
198083,1,9.42,1
198084,1,9.33,1
198085,1,9.53,1
198086,1,8.81,1
198087,1,9.72,1
198088,1,9.39,1
198089,1,9.78,1
198090,1,8.33,1
198091,1,9.67,1
198092,1,8.61,1
198093,1,9.61,1
198094,1,9.61,1
198095,1,7.36,1
198096,1,8.17,1
198097,1,9.42,1
198098,1,8.11,1
198099,1,9.78,1
198100,1,9.11,1
198101,1,9.67,1
198102,1,10,1
198103,1,10,1
198104,1,8.86,1
198105,1,8.5,1
198106,1,10,1
198107,1,9.61,1
198108,1,9.17,1
198109,1,9.17,1
198110,1,9.89,1
198111,1,7.89,1
198112,1,9.61,1
198113,1,9.25,1
198114,2,9.3,1
198115,2,9.7,1
198116,2,6.95,1
198117,2,7.65,1
198118,2,0,0
198119,2,10,1
198120,2,9.53,1
198121,5,9.61,1
198122,2,8.2,1
198123,3,9.35,1
198124,3,0,0
198125,3,0,0
198126,3,10,1
198127,3,9.43,1
198128,3,7.48,1
198129,2,8.55,1
198130,2,7.1,1
198131,1,6.44,1
198132,1,0,0
198133,1,0,0
198134,3,9.48,1
198135,6,6.68,"rs3 , 4"
198136,3,7.74,1
198137,2,6.93,1
198138,3,6.09,1
198139,3,7.65,1
198140,3,0,0
198141,1,0,0
198142,2,0,0
198143,2,9.6,1
198144,2,10,1
198145,3,10,1
198146,2,8.8,1
198147,1,8.08,1
198148,2,8.53,1
198149,3,7,1
198150,2,7.35,1
198151,2,9.35,1
198152,2,9.4,1
198153,3,9.04,1
198154,3,9.87,1
198155,3,8.35,1
198156,2,8.75,1
198157,3,0,0
198158,3,0,0
198159,3,5.87,1
198160,3,0,0
198161,2,7.75,1
198162,3,0,0
198163,3,0,0
198164,2,9,1
198165,3,0,0
198166,3,0,0
198167,3,0,0
198168,3,0,0
198169,3,7,1
198170,3,0,0
198171,2,7.55,1
198172,3,0,0
198173,3,0,0
198174,3,0,0
198175,3,6.52,1
198176,2,0,0
198177,2,6.55,1
198178,2,6.98,1
198179,4,0,0
198180,4,0,0
198181,1,7.11,1
198182,2,7.73,1
198183,1,7.33,1
198184,4,0,0
198185,5,0,0
198186,2,9.5,1
198187,1,0,0
198188,2,0,0
198189,2,7.6,1
198190,2,7.25,1
198191,2,8.9,1
198192,2,7.2,1
198193,2,8.3,1
198194,2,8.7,1
198195,2,8.25,1
198196,1,5.89,1
198197,1,6.64,1
198198,1,0,0
198199,1,0,0
198200,2,9.8,1
198201,2,0,0
198202,2,5.45,1
198203,2,6.65,1
198204,2,8.75,1
198205,2,7.35,1
198206,2,7.75,1
198207,2,0,0
198208,2,0,0
198209,2,0,0
198210,2,0,0
198211,2,8.65,1
198212,2,8.55,1
198213,2,9.3,1
198214,2,6.83,1
198215,2,9.15,1
198216,5,7.13,1
198217,3,0,0
198218,2,6.9,1
198219,2,8.55,1
198220,3,0,0
198221,2,7.78,1
198222,3,0,0
198223,3,0,0
198224,2,7.45,1
198225,1,8.94,1
198226,1,0,0
198227,1,6.47,1
198228,1,7.33,1
198229,1,7.44,1
198230,1,10,1
198231,1,8.36,1
198232,1,0,0
198233,1,8.11,1
198234,2,8.2,1
198235,1,8.31,1
198236,1,8.64,1
198237,1,6.97,1
198238,1,6.67,1
198239,1,8.39,1
198240,1,6.44,1
198241,1,8.33,1
198242,1,8.67,1
198243,1,8.17,1
198244,1,7.58,1
198245,2,6.93,1
198246,1,7.47,1
198247,1,0,0
198248,1,8.61,1
198249,1,9.06,1
198250,1,0,0
198251,2,6.98,1
198252,2,0,0
198253,1,8.78,1
198254,2,7.8,1
198255,1,0,\n
198256,2,9.8,1
198257,2,9.2,1
198258,2,8.75,1
198259,2,7.45,1
198260,2,7.7,1
198261,1,0,0
198262,1,0,0
198263,2,9.05,1
198264,1,0,0
198265,2,8.5,1
198266,2,8.4,1
198267,2,7.3,1
198268,2,7.8,1
198269,1,6.42,1
198270,2,7.45,1
198271,4,0,0
198272,4,0,0
198273,4,0,0
198274,2,8.88,1
198275,1,0,0
198276,5,0,0
198277,1,0,0
198278,2,8.13,1
198279,1,0,0
198280,4,0,0
198281,4,0,0
198282,1,0,0
198283,2,7.15,1
198284,2,0,0
198285,1,0,0
198286,1,8.81,1
198287,1,9.64,1
198288,1,6.61,1
198289,1,0,0
198290,1,7.75,1
198291,1,8.86,1
198292,1,0,0
198293,1,7.67,1
198294,1,7.61,1
198295,1,7.36,1
198296,1,7.08,1
198297,2,7.8,1
198298,1,0,0
198299,1,7.33,1
198300,1,7.25,1
198301,1,8.94,1
198302,2,9.35,1
198303,1,8.28,1
198304,2,9.2,1
198305,5,0,0
198306,2,8.9,1
198307,2,9.15,1
198308,1,9.22,1
198309,1,9.78,1
198310,1,7.69,1
198311,1,9.39,1
198312,1,9.67,1
198313,1,7.33,1
198314,1,0,0
198315,2,7.95,1
198316,1,9.72,1
198317,1,9.31,1
198318,1,6.56,1
198319,1,9.17,1
198320,1,9.67,1
198321,2,10,1
198322,1,8.56,1
198323,1,10,1
198324,1,9.78,1
198325,1,9.11,1
198326,1,0,0
198327,1,9.06,1
198328,1,0,0
198329,1,7.83,1
198330,1,7.53,1
198331,1,0,0
198332,1,8.78,1
198333,1,9.61,1
198334,1,9.61,1
198335,1,0,0
198336,1,9.67,1
198337,1,8.75,1
198338,1,9.67,1
198339,1,9.22,1
198340,2,7.53,1
198341,1,8.78,1
198342,2,8.1,1
198343,1,9.94,1
198344,2,9.55,1
198345,1,9.72,1
198346,2,8.68,1
198347,1,8.78,1
198348,4,5.46,1
198349,1,10,1
198350,2,0,0
198351,4,9.77,1
198352,1,9.03,1
198353,1,6.83,1
198354,1,8.17,1
198355,1,0,0
198356,1,9.92,1
198357,1,9.78,1
198358,1,8.42,1
198359,1,8.28,1
198360,1,8.39,1
198361,1,0,0
198362,1,6.56,1
198363,1,8.89,1
198364,1,7.44,1
198365,1,8.33,1
198366,1,8.08,1
198367,1,7.19,1
198368,1,7.58,1
198369,1,9.67,1
198370,1,8.83,1
198371,1,0,0
198372,1,8.72,1
198373,1,6.97,1
198374,1,7.78,1
198375,1,8.56,1
198376,1,6.06,1
198377,1,0,0
198378,1,0,0
198379,1,6.42,1
198380,1,7.67,1
198381,1,6.61,1
198382,1,0,0
198383,1,7.28,1
198384,1,6.44,1
198385,1,0,0
198386,1,9.11,1
198387,1,7.83,1
198388,1,9.47,1
198389,1,0,0
198390,4,8.5,1
198391,1,7.61,1
198392,1,0,0
198393,1,7.28,1
198394,1,0,0
198395,1,6.36,1
198396,4,0,0
198397,1,0,0
198398,2,0,0
198399,5,9.35,1
198400,5,9.35,1
198401,1,9.17,1
198402,4,0,0
198403,5,9.35,1
198404,3,6.43,1
198405,3,6.7,1
198406,4,0,0
198407,4,6.58,1
198408,4,9.04,1
198409,4,0,0
198410,4,0,0
198411,4,7.79,1
198412,4,7.96,1
198413,4,6.63,1
198414,4,6.63,1
198415,3,8.61,1
198416,4,6.79,1
198417,3,8.96,1
198418,1,8.56,1
198419,1,8.83,1
198420,1,6.94,1
198421,1,8.17,1
198422,1,9.28,1
198423,1,6.22,1
198424,1,0,0
198425,1,6.89,1
198426,1,8.31,1
198427,1,6.83,1
198428,1,5.83,1
198429,1,9.17,1
198430,1,8.08,1
198431,1,9.17,1
198432,1,6.83,1
198433,1,6.39,1
198434,3,0,0
198435,3,0,0
198436,3,0,0
198437,3,6.04,1
198438,3,0,0
198439,3,5.61,1
198440,3,0,0
198441,1,7.03,1
198442,1,6.92,1
198443,1,0,0
198444,1,7.03,1
198445,1,8.44,1
198446,1,8.06,1
198447,1,8.44,1
198448,1,0,0
198449,3,9.35,1
198450,1,6.31,1
198451,1,7.36,1
198452,3,8.35,1
198453,3,8.83,1
198454,1,8.08,1
198455,3,9.65,1
198456,3,6.7,1
198457,1,8.14,1
198458,1,0,0
198459,3,7.96,1
198460,3,0,0
198461,3,0,0
198462,3,6.17,1
198463,1,0,0
198464,1,0,0
198465,1,7.03,1
198466,1,7.89,1
198467,1,0,0
198468,1,8.11,1
198469,1,7.5,1
198470,1,0,0
198471,1,0,0
198472,1,6.19,1
198473,1,8.44,1
198474,1,8.69,1
198475,1,6.86,1
198476,1,7,1
198477,1,9.39,1
198478,1,9.17,1
198479,3,0,0
198480,3,0,0
198481,3,8.17,1
198482,3,8.96,1
198483,3,0,0
198484,2,9.15,1
198485,3,7.83,1
198486,3,9.04,1
198487,3,7.17,1
198488,2,8.73,1
198489,2,7.3,1
198490,3,7.39,1
198491,3,7.09,1
198492,3,0,0
198493,3,7.65,1
198494,2,8.6,1
198495,2,9.3,1
198496,2,6.9,1
198497,2,0,0
198498,2,9.05,1
198499,2,8.4,1
198500,2,7.5,1
198501,3,9.61,1
198502,2,8.18,1
198503,2,8.13,1
198504,2,8,1
198505,2,7.7,1
198506,2,0,0
198507,3,0,0
198508,3,6.26,1
198509,3,7.57,1
