pid,Placed,Package
197882,No,0
197883,No,0
197884,No,0
197885,No,0
197886,Yes,3
197887,No,0
197888,Yes,5
197889,No,0
197890,No,0
197891,No,0
197892,Yes,5
197893,No,0
197894,No,0
197895,No,0
197896,No,0
197897,No,0
197898,No,0
197899,Yes,4
197900,No,0
197901,No,0
197902,No,0
197903,No,0
197904,No,0
197905,No,0
197906,No,0
197907,No,0
197908,No,0
197909,No,0
197910,No,0
197911,No,0
197912,No,0
197913,No,0
197914,No,0
197915,No,0
197916,No,0
197917,No,0
197918,No,0
197919,No,0
197920,Yes,3
197921,No,0
197922,Yes,10
197923,Yes,5
197924,No,0
197925,Yes,3
197926,No,0
197927,No,0
197928,Yes,4
197929,Yes,13
197930,No,0
197931,Yes,4
197932,No,0
197933,No,0
197934,Yes,4
197935,Yes,3
197936,No,0
197937,No,0
197938,No,0
197939,No,0
197940,Yes,5
197941,No,0
197942,No,0
197943,Yes,3
197944,No,0
197945,No,0
197946,No,0
197947,No,0
197948,No,0
197949,Yes,4
197950,Yes,4
197951,Yes,3
197952,Yes,5
197953,Yes,4
197954,No,0
197955,Yes,4
197956,No,0
197957,No,0
197958,No,0
197959,No,0
197960,Yes,5
197961,No,0
197962,No,0
197963,No,0
197964,Yes,4
197965,No,0
197966,Yes,3
197967,No,0
197968,No,0
197969,Yes,3
197970,No,0
197971,Yes,3
197972,No,0
197973,Yes,3
197974,No,0
197975,No,0
197976,Yes,3
197977,No,0
197978,No,0
197979,No,0
197980,Yes,3
197981,No,0
197982,No,0
197983,Yes,5
197984,No,0
197985,No,0
197986,No,0
197987,No,0
197988,No,0
197989,No,0
197990,Yes,3
197991,No,0
197992,No,0
197993,Yes,4
197994,No,0
197995,Yes,5
197996,No,0
197997,No,0
197998,Yes,13
197999,No,0
198000,Yes,5
198001,Yes,4
198002,No,0
198003,No,0
198004,No,0
198005,Yes,5
198006,No,0
198007,Yes,3
198008,No,0
198009,No,0
198010,No,0
198011,No,0
198012,No,0
198013,No,0
198014,No,0
198015,No,0
198016,No,0
198017,No,0
198018,Yes,4
198019,Yes,5
198020,No,0
198021,No,0
198022,No,0
198023,No,0
198024,No,0
198025,Yes,4
198026,No,0
198027,No,0
198028,No,0
198029,No,0
198030,Yes,3
198031,No,0
198032,No,0
198033,No,0
198034,No,0
198035,No,0
198036,No,0
198037,No,0
198038,Yes,5
198039,Yes,3
198040,No,0
198041,No,0
198042,No,0
198043,Yes,5
198044,No,0
198045,No,0
198046,No,0
198047,No,0
198048,No,0
198049,No,0
198050,No,0
198051,Yes,4
198052,No,0
198053,No,0
198054,No,0
198055,Yes,4
198056,No,0
198057,No,0
198058,No,0
198059,Yes,4
198060,No,0
198061,No,0
198062,No,0
198063,Yes,5
198064,Yes,4
198065,Yes,3
198066,Yes,3
198067,No,0
198068,No,0
198069,No,0
198070,No,0
198071,No,0
198072,Yes,3
198073,Yes,4
198074,No,0
198075,No,0
198076,No,0
198077,No,0
198078,No,0
198079,Yes,5
198080,Yes,4
198081,No,0
198082,No,0
198083,Yes,4
198084,Yes,3
198085,No,0
198086,No,0
198087,Yes,5
198088,No,0
198089,Yes,5
198090,No,0
198091,Yes,3
198092,No,0
198093,No,0
198094,No,0
198095,Yes,3
198096,No,0
198097,No,0
198098,No,0
198099,No,0
198100,No,0
198101,No,0
198102,Yes,3
198103,No,0
198104,Yes,4
198105,Yes,4
198106,No,0
198107,Yes,4
198108,No,0
198109,Yes,5
198110,No,0
198111,No,0
198112,Yes,5
198113,No,0
198114,No,0
198115,No,0
198116,No,0
198117,Yes,4
198118,No,0
198119,No,0
198120,No,0
198121,Yes,5
198122,No,0
198123,No,0
198124,No,0
198125,No,0
198126,Yes,13
198127,Yes,5
198128,Yes,5
198129,No,0
198130,Yes,4
198131,Yes,5
198132,Yes,5
198133,No,0
198134,Yes,5
198135,No,0
198136,Yes,3
198137,No,0
198138,Yes,4
198139,No,0
198140,No,0
198141,Yes,3
198142,No,0
198143,No,0
198144,No,0
198145,No,0
198146,No,0
198147,No,0
198148,Yes,5
198149,No,0
198150,No,0
198151,No,0
198152,Yes,3
198153,Yes,4
198154,Yes,3
198155,No,0
198156,Yes,3
198157,Yes,3
198158,No,0
198159,Yes,5
198160,Yes,3
198161,No,0
198162,Yes,5
198163,No,0
198164,Yes,5
198165,No,0
198166,Yes,3
198167,No,0
198168,Yes,3
198169,No,0
198170,No,0
198171,No,0
198172,No,0
198173,Yes,3
198174,No,0
198175,No,0
198176,No,0
198177,No,0
198178,Yes,4
198179,Yes,4
198180,No,0
198181,No,0
198182,Yes,5
198183,No,0
198184,No,0
198185,Yes,3
198186,No,0
198187,No,0
198188,No,0
198189,No,0
198190,No,0
198191,Yes,3
198192,No,0
198193,No,0
198194,No,0
198195,No,0
198196,Yes,5
198197,No,0
198198,No,0
198199,No,0
198200,Yes,10
198201,No,0
198202,No,0
198203,No,0
198204,No,0
198205,Yes,5
198206,No,0
198207,Yes,4
198208,No,0
198209,No,0
198210,No,0
198211,Yes,5
198212,Yes,3
198213,Yes,3
198214,No,0
198215,No,0
198216,No,0
198217,No,0
198218,No,0
198219,No,0
198220,Yes,3
198221,Yes,4
198222,No,0
198223,Yes,4
198224,Yes,5
198225,Yes,3
198226,No,0
198227,No,0
198228,No,0
198229,Yes,4
198230,No,0
198231,No,0
198232,No,0
198233,No,0
198234,No,0
198235,Yes,3
198236,Yes,3
198237,Yes,5
198238,No,0
198239,No,0
198240,Yes,4
198241,No,0
198242,No,0
198243,No,0
198244,No,0
198245,Yes,4
198246,No,0
198247,No,0
198248,No,0
198249,No,0
198250,No,0
198251,No,0
198252,Yes,4
198253,No,0
198254,Yes,5
198255,No,0
198256,Yes,4
198257,No,0
198258,No,0
198259,Yes,3
198260,Yes,3
198261,No,0
198262,No,0
198263,Yes,5
198264,Yes,3
198265,No,0
198266,No,0
198267,Yes,4
198268,No,0
198269,Yes,4
198270,Yes,3
198271,Yes,3
198272,Yes,4
198273,No,0
198274,Yes,3
198275,Yes,3
198276,Yes,3
198277,No,0
198278,Yes,4
198279,No,0
198280,No,0
198281,No,0
198282,No,0
198283,No,0
198284,No,0
198285,Yes,5
198286,No,0
198287,Yes,5
198288,No,0
198289,No,0
198290,No,0
198291,No,0
198292,No,0
198293,Yes,4
198294,No,0
198295,Yes,4
198296,No,0
198297,Yes,3
198298,Yes,4
198299,Yes,4
198300,No,0
198301,No,0
198302,No,0
198303,No,0
198304,No,0
198305,No,0
198306,No,0
198307,No,0
198308,No,0
198309,No,0
198310,No,0
198311,No,0
198312,No,0
198313,Yes,5
198314,No,0
198315,No,0
198316,No,0
198317,No,0
198318,Yes,5
198319,Yes,3
198320,No,0
198321,Yes,5
198322,No,0
198323,No,0
198324,No,0
198325,No,0
198326,No,0
198327,No,0
198328,No,0
198329,No,0
198330,Yes,5
198331,No,0
198332,No,0
198333,No,0
198334,No,0
198335,No,0
198336,No,0
198337,Yes,5
198338,No,0
198339,Yes,4
198340,No,0
198341,No,0
198342,No,0
198343,Yes,3
198344,No,0
198345,Yes,3
198346,Yes,5
198347,No,0
198348,Yes,3
198349,No,0
198350,Yes,3
198351,Yes,5
198352,No,0
198353,Yes,4
198354,No,0
198355,No,0
198356,Yes,4
198357,No,0
198358,No,0
198359,No,0
198360,No,0
198361,No,0
198362,Yes,3
198363,Yes,13
198364,No,0
198365,No,0
198366,No,0
198367,Yes,4
198368,No,0
198369,No,0
198370,No,0
198371,No,0
198372,No,0
198373,No,0
198374,Yes,3
198375,Yes,5
198376,Yes,4
198377,No,0
198378,No,0
198379,No,0
198380,Yes,4.5
198381,No,0
198382,No,0
198383,No,0
198384,No,0
198385,Yes,4
198386,No,0
198387,Yes,3
198388,No,0
198389,Yes,5
198390,No,0
198391,No,0
198392,No,0
198393,Yes,4
198394,No,0
198395,No,0
198396,Yes,3
198397,Yes,3
198398,No,0
198399,Yes,5
198400,No,0
198401,Yes,5
198402,No,0
